"ts_code","name","year","n_cashflow_operating","n_cashflow_investing","n_cashflow_financing","operating_symbol","investing_symbol","financing_symbol","cashflow_portrait","life_cycle","anomaly"
"000568","泸州老窖","2013","122659.02624600001","-24136.173415","-257624.64691500002","+","-","-","+--","成熟期",""
"000568","泸州老窖","2014","130711.008584","-14328.051197","-182459.995111","+","-","-","+--","成熟期",""
"000568","泸州老窖","2015","15279.143369","-11027.968409000001","-119064.236878","+","-","-","+--","成熟期",""
"000568","泸州老窖","2016","262508.840849","-23645.708067","-116941.83648299999","+","-","-","+--","成熟期",""
"000568","泸州老窖","2017","369340.74618899997","-139643.766096","132635.456075","+","-","+","+-+","成长期",""
"000568","泸州老窖","2018","429791.60182399995","-146541.59719200002","-191666.710351","+","-","-","+--","成熟期",""
"000568","泸州老窖","2019","484161.92038599995","-455069.71209399996","9343.53842","+","-","+","+-+","成长期",""
"000568","泸州老窖","2020","491610.24513","-217446.004182","-91677.356068","+","-","-","+--","成熟期",""
"000568","泸州老窖","2021","769864.810451","-267804.889674","-318261.85223099997","+","-","-","+--","成熟期",""
"000568","泸州老窖","2022","826264.8269720001","-187385.431673","-207838.84524","+","-","-","+--","成熟期",""
"000568","泸州老窖","2023","1064836.493546","-126811.7853","-121842.606829","+","-","-","+--","成熟期",""
"000568","泸州老窖","2024","1918176.836365","-138250.59325499999","-1032885.303768","+","-","-","+--","成熟期",""
"000596","古井贡酒","2013","63825.535530999994","-148917.499644","-25180.0","+","-","-","+--","成熟期",""
"000596","古井贡酒","2014","38749.428989","-83580.455806","-17626.0","+","-","-","+--","成熟期",""
"000596","古井贡酒","2015","79010.953501","-33137.624473","-10072.0","+","-","-","+--","成熟期",""
"000596","古井贡酒","2016","118323.18080599999","-154101.99776099998","-15473.653745","+","-","-","+--","成熟期",""
"000596","古井贡酒","2017","93091.471278","-13251.511245","-30216.0","+","-","-","+--","成熟期",""
"000596","古井贡酒","2018","144088.12859500002","-112579.249389","-50361.655333999995","+","-","-","+--","成熟期",""
"000596","古井贡酒","2019","19244.706345","267214.198952","-75540.0","+","+","-","++-","成熟期",""
"000596","古井贡酒","2020","362454.35255300003","-23121.690533","-70117.284455","+","-","-","+--","成熟期",""
"000596","古井贡酒","2021","525430.812779","-886145.112018","402778.947725","+","-","+","+-+","成长期",""
"000596","古井贡酒","2022","310791.457948","526871.127061","-132880.259347","+","+","-","++-","成熟期",""
"000596","古井贡酒","2023","449620.603442","-127793.27991400001","-164747.92531400002","+","-","-","+--","成熟期",""
"000596","古井贡酒","2024","472765.28738500003","-173304.20869","-247764.351012","+","-","-","+--","成熟期",""
"000799","酒鬼酒","2013","-46804.501783","5730.050042","-1526.0796","-","+","-","-+-","衰退期",""
"000799","酒鬼酒","2014","-6565.362992","-9599.106379","-2093.70375","-","-","-","---","衰退期",""
"000799","酒鬼酒","2015","23066.505613999998","-10242.199920000001","60.025","+","-","+","+-+","成长期",""
"000799","酒鬼酒","2016","21930.786506","-28630.214937","-111.844619","+","-","-","+--","成熟期",""
"000799","酒鬼酒","2017","22512.190821","-15105.131285","-3572.981676","+","-","-","+--","成熟期",""
"000799","酒鬼酒","2018","21225.671651","10231.64573","-4872.38851","+","+","-","++-","成熟期",""
"000799","酒鬼酒","2019","38190.959049","37813.793789999996","-4871.047354","+","+","-","++-","成熟期",""
"000799","酒鬼酒","2020","95015.30321900001","-4952.247455","-6493.520493999999","+","-","-","+--","成熟期",""
"000799","酒鬼酒","2021","156467.105875","-14023.469754","-23468.722013","+","-","-","+--","成熟期",""
"000799","酒鬼酒","2022","40068.532954","-24330.767463","-42336.893447","+","-","-","+--","成熟期",""
"000799","酒鬼酒","2023","5123.918545","-34342.141804","-42399.544701","+","-","-","+--","成熟期",""
