ts_code,name,year,ROOA,ROIA,警告说明
000568.SZ,泸州老窖,2015,19.7034,5.7791,ROIA=5.78%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
000568.SZ,泸州老窖,2016,26.0066,2.5676,利息收入未获取到或为0
000568.SZ,泸州老窖,2017,31.0133,0.9403,利息收入未获取到或为0
000568.SZ,泸州老窖,2018,40.6826,0.8449,利息收入未获取到或为0
000568.SZ,泸州老窖,2019,35.4223,0.9938,利息收入未获取到或为0
000568.SZ,泸州老窖,2020,33.4815,1.3272,利息收入未获取到或为0
000568.SZ,泸州老窖,2021,35.4961,1.2587,利息收入未获取到或为0
000568.SZ,泸州老窖,2022,42.8339,0.4547,利息收入未获取到或为0
000568.SZ,泸州老窖,2023,46.8693,0.3651,利息收入未获取到或为0
000568.SZ,泸州老窖,2024,50.5695,0.2061,利息收入未获取到或为0
000596.SZ,古井贡酒,2015,10.5455,3.658,利息收入未获取到或为0
000596.SZ,古井贡酒,2016,9.9932,3.7025,利息收入未获取到或为0
000596.SZ,古井贡酒,2017,11.4042,7.354,ROIA=7.35%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
000596.SZ,古井贡酒,2018,16.1305,4.1969,利息收入未获取到或为0
000596.SZ,古井贡酒,2019,27.0681,2.5228,利息收入未获取到或为0
000596.SZ,古井贡酒,2020,24.6464,0.2522,利息收入未获取到或为0
000596.SZ,古井贡酒,2021,25.1837,-0.0395,利息收入未获取到或为0
000596.SZ,古井贡酒,2022,27.2025,-0.1442,利息收入未获取到或为0
000596.SZ,古井贡酒,2023,30.01,-0.0123,利息收入未获取到或为0
000596.SZ,古井贡酒,2024,32.2855,-0.1976,利息收入未获取到或为0
000799.SZ,酒鬼酒,2015,3.8019,1.2273,利息收入未获取到或为0
000799.SZ,酒鬼酒,2016,3.6274,1.9459,利息收入未获取到或为0
000799.SZ,酒鬼酒,2017,5.8995,8.8927,ROIA=8.89%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
000799.SZ,酒鬼酒,2018,12.7465,1.5156,利息收入未获取到或为0
000799.SZ,酒鬼酒,2019,13.6886,0.0156,利息收入未获取到或为0
000799.SZ,酒鬼酒,2020,23.1465,0.0095,利息收入未获取到或为0
000799.SZ,酒鬼酒,2021,43.3791,0.0155,利息收入未获取到或为0
000799.SZ,酒鬼酒,2022,55.7021,0.0073,利息收入未获取到或为0
000799.SZ,酒鬼酒,2023,24.9035,-0.0172,利息收入未获取到或为0
000799.SZ,酒鬼酒,2024,2.145,-0.033,利息收入未获取到或为0
600809.SH,山西汾酒,2015,10.0209,0.0341,利息收入未获取到或为0
600809.SH,山西汾酒,2016,11.9056,-0.0876,利息收入未获取到或为0
600809.SH,山西汾酒,2017,17.528,0.05,利息收入未获取到或为0
600809.SH,山西汾酒,2018,20.527,0.0397,利息收入未获取到或为0
600809.SH,山西汾酒,2019,24.3277,0.0047,利息收入未获取到或为0
600809.SH,山西汾酒,2020,25.9121,-1.0639,利息收入未获取到或为0
600809.SH,山西汾酒,2021,42.5462,-0.108,利息收入未获取到或为0
600809.SH,山西汾酒,2022,59.7281,0.847,利息收入未获取到或为0
600809.SH,山西汾酒,2023,32.4189,6.07,ROIA=6.07%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
600809.SH,山西汾酒,2024,39.0304,1.4487,利息收入未获取到或为0
000858.SZ,五粮液,2015,25.808,0.0444,利息收入未获取到或为0
000858.SZ,五粮液,2016,24.9419,0.017,利息收入未获取到或为0
000858.SZ,五粮液,2017,31.9736,0.0548,利息收入未获取到或为0
000858.SZ,五粮液,2018,37.9942,0.1206,利息收入未获取到或为0
000858.SZ,五粮液,2019,46.0638,0.0912,利息收入未获取到或为0
000858.SZ,五粮液,2020,46.691,0.0219,利息收入未获取到或为0
000858.SZ,五粮液,2021,55.5338,0.0207,利息收入未获取到或为0
000858.SZ,五粮液,2022,52.0573,0.0541,利息收入未获取到或为0
000858.SZ,五粮液,2023,61.185,0.0206,利息收入未获取到或为0
000858.SZ,五粮液,2024,77.3861,0.0172,利息收入未获取到或为0
002304.SZ,洋河股份,2015,24.6018,1.8473,利息收入未获取到或为0
002304.SZ,洋河股份,2016,21.2072,4.1282,利息收入未获取到或为0
002304.SZ,洋河股份,2017,19.7321,9.4652,ROIA=9.47%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
002304.SZ,洋河股份,2018,22.043,12.0068,ROIA=12.01%显著高于市场利率，可能包含非经常性收益; 利息收入未获取到或为0
002304.SZ,洋河股份,2019,30.2198,4.1551,利息收入未获取到或为0
