company,ts_code,year,accounts_receivable_ratio,inventory_ratio,fixed_assets_ratio,comprehensive_ratio,ar_index,inventory_index,fa_index,comprehensive_index,estimation_method
五粮液,000858.SZ,2015,0.0018193167,0.0018193167,0.0018226326,0.0018205679,1.1252654340,1.1252654340,1.1254651016,1.1252965354,direct
五粮液,000858.SZ,2016,0.0008237885,0.0008237885,0.0008244677,0.0008240377,0.3475500760,0.3475500760,0.3470121521,0.3473301091,direct
五粮液,000858.SZ,2017,0.0003526096,0.0003526096,0.0003527340,0.0003526508,0.1665030965,0.1665030965,0.1662090939,0.1664143329,direct
五粮液,000858.SZ,2018,0.0006327081,0.0006327081,0.0006331087,0.0006328307,0.4523993256,0.4523993256,0.4518626007,0.4521676552,direct
五粮液,000858.SZ,2019,-0.0001516506,-0.0001516506,-0.0001516276,-0.0001516436,-0.1720938483,-0.1720938483,-0.1718168780,-0.1720264639,negative_impairment
五粮液,000858.SZ,2020,-0.0007380451,-0.0007380451,-0.0007375008,-0.0007378782,-4.8889067759,-4.8889067759,-4.8845637024,-4.8875353478,negative_impairment
五粮液,000858.SZ,2021,-0.0003827055,-0.0003827055,-0.0003825591,-0.0003826638,-0.6455578806,-0.6455578806,-0.6446989760,-0.6453545154,negative_impairment
五粮液,000858.SZ,2022,-0.0012303198,-0.0012303198,-0.0012288079,-0.0012299429,-1.4667496618,-1.4667496618,-1.4628063622,-1.4657945250,negative_impairment
五粮液,000858.SZ,2023,-0.0001739057,-0.0001739057,-0.0001738754,-0.0001738987,-0.2137979278,-0.2137979278,-0.2135868781,-0.2137645850,negative_impairment
五粮液,000858.SZ,2024,0.0006545970,0.0006545970,0.0006550258,0.0006546986,0.8860570471,0.8860570471,0.8859739012,0.8860789366,direct
今世缘,603369.SH,2015,0.0003653347,0.0003653347,0.0003654682,0.0003653789,0.2259631496,0.2259631496,0.2256745198,0.2258413995,direct
今世缘,603369.SH,2016,0.0003905958,0.0003905958,0.0003907484,0.0003906455,0.1647893888,0.1647893888,0.1644630316,0.1646562282,direct
今世缘,603369.SH,2017,0.0021177360,0.0021177360,0.0021222304,0.0021191134,1.0000000000,1.0000000000,1.0000000000,1.0000000000,direct
今世缘,603369.SH,2018,0.0090629869,0.0090629869,0.0091458758,0.0090855863,6.4802218973,6.4802218973,6.5275980964,6.4917964109,direct
今世缘,603369.SH,2019,0.0025155469,0.0025155469,0.0025218908,0.0025175720,2.8546545758,2.8546545758,2.8576810986,2.8559667910,filled_company_avg
今世缘,603369.SH,2020,0.0022147685,0.0022147685,0.0022196846,0.0022161324,14.6709144859,14.6709144859,14.7012596043,14.6791517957,filled_company_avg
今世缘,603369.SH,2021,0.0017843450,0.0017843450,0.0017875346,0.0017852552,3.0098811093,3.0098811093,3.0124020397,3.0107959132,filled_company_avg
今世缘,603369.SH,2022,0.0015614158,0.0015614158,0.0015638577,0.0015619903,1.8614723164,1.8614723164,1.8616586926,1.8615146867,filled_company_avg
今世缘,603369.SH,2023,0.0012833234,0.0012833234,0.0012849725,0.0012836514,1.5777052513,1.5777052513,1.5784475866,1.5779252653,filled_company_avg
今世缘,603369.SH,2024,0.0012170122,0.0012170122,0.0012184952,0.0012174521,1.6473375478,1.6473375478,1.6481104942,1.6477181106,filled_company_avg
口子窖,603589.SH,2015,0.0073791454,0.0073791454,0.0074340020,0.0074001531,4.5640747292,4.5640747292,4.5904532318,4.5740488363,direct
口子窖,603589.SH,2016,0.0022528778,0.0022528778,0.0022579647,0.0022549480,0.9504719199,0.9504719199,0.9503600872,0.9504557321,direct
口子窖,603589.SH,2017,0.0009767852,0.0009767852,0.0009777402,0.0009771534,0.4612402760,0.4612402760,0.4607135090,0.4611142329,direct
口子窖,603589.SH,2018,0.0021644142,0.0021644142,0.0021691091,0.0021662670,1.5476006744,1.5476006744,1.5481373993,1.5478323448,direct
口子窖,603589.SH,2019,-0.0009156554,-0.0009156554,-0.0009148177,-0.0009153161,-1.0390900566,-1.0390900566,-1.0366258634,-1.0383466367,negative_impairment
口子窖,603589.SH,2020,-0.0001342547,-0.0001342547,-0.0001342367,-0.0001342478,-0.8893204842,-0.8893204842,-0.8890668682,-0.8892266521,negative_impairment
口子窖,603589.SH,2021,-0.0006024339,-0.0006024339,-0.0006020712,-0.0006023016,-1.0162016355,-1.0162016355,-1.0146267381,-1.0157691657,negative_impairment
口子窖,603589.SH,2022,-0.0000124258,-0.0000124258,-0.0000124257,-0.0000124258,-0.0148137135,-0.0148137135,-0.0147918802,-0.0148085333,negative_impairment
口子窖,603589.SH,2023,-0.0035772711,-0.0035772711,-0.0035645198,-0.0035725614,-4.3978619741,-4.3978619741,-4.3786211882,-4.3915621364,negative_impairment
口子窖,603589.SH,2024,0.0011785042,0.0011785042,0.0011798947,0.0011788277,1.5952134449,1.5952134449,1.5959004044,1.5954432014,filled_company_avg
古井贡酒,000596.SZ,2015,0.0036481987,0.0036481987,0.0036615567,0.0036554905,2.2564471005,2.2564471005,2.2609901062,2.2594657005,direct
古井贡酒,000596.SZ,2016,0.0031611132,0.0031611132,0.0031711375,0.0031662090,1.3336494813,1.3336494813,1.3347075297,1.3345502738,direct
古井贡酒,000596.SZ,2017,0.0085763481,0.0085763481,0.0086505382,0.0086104695,4.0497720101,4.0497720101,4.0761541792,4.0632414589,direct
古井贡酒,000596.SZ,2018,0.0030203045,0.0030203045,0.0030294543,0.0030241397,2.1595797737,2.1595797737,2.1621833454,2.1607960624,direct
古井贡酒,000596.SZ,2019,-0.0002549087,-0.0002549087,-0.0002548437,-0.0002548852,-0.2892715600,-0.2892715600,-0.2887761883,-0.2891451685,negative_impairment
古井贡酒,000596.SZ,2020,-0.0026753391,-0.0026753391,-0.0026682007,-0.0026729054,-17.7217936629,-17.7217936629,-17.6718401595,-17.7047113097,negative_impairment
古井贡酒,000596.SZ,2021,-0.0024908756,-0.0024908756,-0.0024846866,-0.0024890496,-4.2016758471,-4.2016758471,-4.1872615005,-4.1977305766,negative_impairment
古井贡酒,000596.SZ,2022,-0.0012590227,-0.0012590227,-0.0012574396,-0.0012585325,-1.5009684445,-1.5009684445,-1.4968902366,-1.4998663962,negative_impairment
古井贡酒,000596.SZ,2023,-0.0025551286,-0.0025551286,-0.0025486166,-0.0025526683,-3.1412500794,-3.1412500794,-3.1306956208,-3.1378611429,negative_impairment
古井贡酒,000596.SZ,2024,0.0004548709,0.0004548709,0.0004550779,0.0004549622,0.6157094066,0.6157094066,0.6155286119,0.6157527343,direct
山西汾酒,600809.SH,2015,0.0014142611,0.0014142611,0.0014162641,0.0014151444,0.8747345660,0.8747345660,0.8745348984,0.8747034646,direct
山西汾酒,600809.SH,2016,0.0069619790,0.0069619790,0.0070107879,0.0069845067,2.9372056858,2.9372056858,2.9507870240,2.9439544968,direct
山西汾酒,600809.SH,2017,-0.0042035051,-0.0042035051,-0.0041859096,-0.0041961562,-1.9849051046,-1.9849051046,-1.9724105617,-1.9801470607,negative_impairment
山西汾酒,600809.SH,2018,0.0004635971,0.0004635971,0.0004638122,0.0004636692,0.3314814792,0.3314814792,0.3310321942,0.3312990704,direct
山西汾酒,600809.SH,2019,0.0015940379,0.0015940379,0.0015965830,0.0015946357,1.8089218533,1.8089218533,1.8091683145,1.8089757417,filled_company_avg
山西汾酒,600809.SH,2020,0.0013522104,0.0013522104,0.0013540414,0.0013526072,8.9572176722,8.9572176722,8.9679920742,8.9593593298,filled_company_avg
山西汾酒,600809.SH,2021,0.0010518240,0.0010518240,0.0010529315,0.0010520622,1.7742450257,1.7742450257,1.7744289173,1.7742811645,filled_company_avg
山西汾酒,600809.SH,2022,-0.0000377861,-0.0000377861,-0.0000377847,-0.0000377859,-0.0450474807,-0.0450474807,-0.0449799465,-0.0450316320,negative_impairment
山西汾酒,600809.SH,2023,0.0008134114,0.0008134114,0.0008140736,0.0008135058,1.0000000000,1.0000000000,1.0000000000,1.0000000000,filled_company_avg
山西汾酒,600809.SH,2024,0.0008229535,0.0008229535,0.0008236313,0.0008230446,1.1139429529,1.1139429529,1.1140260988,1.1139210634,filled_company_avg
水井坊,600779.SH,2015,0.0501806650,0.0501806650,0.0528317998,0.0511766819,31.0372396918,31.0372396918,32.6233307987,31.6324052215,direct
水井坊,600779.SH,2016,0.0440416821,0.0440416821,0.0460707139,0.0447249707,18.5808489284,18.5808489284,19.3908111892,18.8514787115,direct
水井坊,600779.SH,2017,0.0698102182,0.0698102182,0.0750494357,0.0712717506,32.9645512596,32.9645512596,35.3634727933,33.6328156542,direct
水井坊,600779.SH,2018,0.0001267453,0.0001267453,0.0001267614,0.0001267497,0.0906255180,0.0906255180,0.0904721956,0.0905647142,direct
水井坊,600779.SH,2019,-0.0031895627,-0.0031895627,-0.0031794218,-0.0031869672,-3.6195309743,-3.6195309743,-3.6027624340,-3.6153375776,negative_impairment
水井坊,600779.SH,2020,-0.0052695921,-0.0052695921,-0.0052419690,-0.0052634612,-34.9064626496,-34.9064626496,-34.7182420848,-34.8639569236,negative_impairment
