ts_code,name,year,内生资本占比(%),外源融资占比(%)
000568.SZ,泸州老窖,2015,5.3,10.6
000568.SZ,泸州老窖,2016,6.7,10.3
000568.SZ,泸州老窖,2017,9.4,7.4
000568.SZ,泸州老窖,2018,14.2,6.5
000568.SZ,泸州老窖,2019,13.3,13.7
000568.SZ,泸州老窖,2020,15.1,15.6
000568.SZ,泸州老窖,2021,14.4,12.6
000568.SZ,泸州老窖,2022,12.6,8.7
000568.SZ,泸州老窖,2023,9.2,4.7
000568.SZ,泸州老窖,2024,8.2,2.2
000596.SZ,古井贡酒,2015,15.1,7
000596.SZ,古井贡酒,2016,12.9,5.8
000596.SZ,古井贡酒,2017,14.1,5
000596.SZ,古井贡酒,2018,13.3,4
000596.SZ,古井贡酒,2019,15.9,3.6
000596.SZ,古井贡酒,2020,9.8,3.3
000596.SZ,古井贡酒,2021,10.7,2.1
000596.SZ,古井贡酒,2022,15.9,1.8
000596.SZ,古井贡酒,2023,18.4,1.5
000596.SZ,古井贡酒,2024,14.4,1.3
000799.SZ,酒鬼酒,2015,6.8,14.2
000799.SZ,酒鬼酒,2016,6.7,13.8
000799.SZ,酒鬼酒,2017,8.1,12.8
000799.SZ,酒鬼酒,2018,9,11.3
000799.SZ,酒鬼酒,2019,8.7,10.1
000799.SZ,酒鬼酒,2020,8.3,7.5
000799.SZ,酒鬼酒,2021,8.8,5.4
000799.SZ,酒鬼酒,2022,10.6,5.6
000799.SZ,酒鬼酒,2023,10.2,5.7
000799.SZ,酒鬼酒,2024,8.2,6.4
600809.SH,山西汾酒,2015,23,12.9
600809.SH,山西汾酒,2016,23.8,11.7
600809.SH,山西汾酒,2017,26.9,9.7
600809.SH,山西汾酒,2018,25.9,7.3
600809.SH,山西汾酒,2019,29.4,5.4
600809.SH,山西汾酒,2020,26.2,4.4
600809.SH,山西汾酒,2021,15.9,4.1
600809.SH,山西汾酒,2022,15.4,3.3
600809.SH,山西汾酒,2023,14.6,2.8
600809.SH,山西汾酒,2024,13.8,2.3
000858.SZ,五粮液,2015,8.9,7.2
000858.SZ,五粮液,2016,9.4,6.1
000858.SZ,五粮液,2017,12.7,5.4
000858.SZ,五粮液,2018,13.3,4.5
000858.SZ,五粮液,2019,14.3,3.6
000858.SZ,五粮液,2020,11.7,3.4
000858.SZ,五粮液,2021,10.9,2.9
000858.SZ,五粮液,2022,11,2.5
000858.SZ,五粮液,2023,11.9,2.3
000858.SZ,五粮液,2024,11.3,2.1
002304.SZ,洋河股份,2015,13.5,4.5
002304.SZ,洋河股份,2016,9.6,3.9
002304.SZ,洋河股份,2017,8.4,3.5
002304.SZ,洋河股份,2018,9.5,3
002304.SZ,洋河股份,2019,6.1,2.8
002304.SZ,洋河股份,2020,6.5,2.8
002304.SZ,洋河股份,2021,7.5,2.2
002304.SZ,洋河股份,2022,4.4,2.2
002304.SZ,洋河股份,2023,4,2.2
002304.SZ,洋河股份,2024,3.2,2.2
603369.SH,今世缘,2015,5,9.3
603369.SH,今世缘,2016,5.5,20.3
603369.SH,今世缘,2017,7.4,17.4
603369.SH,今世缘,2018,8,14.6
603369.SH,今世缘,2019,8.4,12.5
603369.SH,今世缘,2020,9.7,10.6
603369.SH,今世缘,2021,10.2,8.7
603369.SH,今世缘,2022,11.2,6.9
603369.SH,今世缘,2023,9.9,5.8
603369.SH,今世缘,2024,11.7,5.2
600702.SH,舍得酒业,2015,9,9
600702.SH,舍得酒业,2016,10.6,8.5
600702.SH,舍得酒业,2017,14.2,7.2
600702.SH,舍得酒业,2018,13.8,7
600702.SH,舍得酒业,2019,14.2,5.8
600702.SH,舍得酒业,2020,14.9,5.2
600702.SH,舍得酒业,2021,16.8,4.1
600702.SH,舍得酒业,2022,18.7,3.4
600702.SH,舍得酒业,2023,17,3
600702.SH,舍得酒业,2024,15.9,2.8
600779.SH,水井坊,2015,13.8,27.2
600779.SH,水井坊,2016,17.6,22.2
600779.SH,水井坊,2017,21.5,17.5
600779.SH,水井坊,2018,19.6,15.3
600779.SH,水井坊,2019,18.7,12.4
600779.SH,水井坊,2020,20.3,11.2
600779.SH,水井坊,2021,22.6,8.3
600779.SH,水井坊,2022,20.6,6.9
600779.SH,水井坊,2023,18.7,5.8
600779.SH,水井坊,2024,19.7,5.3
603589.SH,口子窖,2015,15,12.1
603589.SH,口子窖,2016,12.4,10.5
603589.SH,口子窖,2017,18.1,7.8
603589.SH,口子窖,2018,15.5,6.8
603589.SH,口子窖,2019,14.4,6.3
603589.SH,口子窖,2020,13.3,6.1
603589.SH,口子窖,2021,13.6,5.4
603589.SH,口子窖,2022,11.3,5.2
603589.SH,口子窖,2023,11,4.8
603589.SH,口子窖,2024,10.4,4.4
600519.SH,贵州茅台,2015,5.1,1.5
600519.SH,贵州茅台,2016,6.1,1.1
600519.SH,贵州茅台,2017,7.9,0.9
600519.SH,贵州茅台,2018,8.7,0.8
600519.SH,贵州茅台,2019,6.9,0.7
600519.SH,贵州茅台,2020,6.2,0.6
600519.SH,贵州茅台,2021,6.9,0.5
600519.SH,贵州茅台,2022,5.5,0.5
600519.SH,贵州茅台,2023,5.7,0.5
600519.SH,贵州茅台,2024,5.7,0.4
