ts_code,name,year,造血占比,输血占比,Capex内生强度,M&A依赖度,合计校验,备注
600519.SH,贵州茅台,2015,5.69,1.59,2.39,0,7.29,合计偏差92.7%，大于5%
600519.SH,贵州茅台,2016,6.75,1.22,0.9,0,7.97,合计偏差92.0%，大于5%
600519.SH,贵州茅台,2017,9.41,1.02,0.84,0,10.43,合计偏差89.6%，大于5%
600519.SH,贵州茅台,2018,10.11,0.86,1.01,0,10.97,合计偏差89.0%，大于5%
600519.SH,贵州茅台,2019,7.84,0.75,1.72,0,8.59,合计偏差91.4%，大于5%
600519.SH,贵州茅台,2020,7.1,0.64,0.98,0,7.75,合计偏差92.3%，大于5%
600519.SH,贵州茅台,2021,7.75,0.58,1.34,0,8.33,合计偏差91.7%，大于5%
600519.SH,贵州茅台,2022,6.38,0.58,2.09,0,6.96,合计偏差93.0%，大于5%
600519.SH,贵州茅台,2023,6.44,0.53,0.96,0,6.97,合计偏差93.0%，大于5%
600519.SH,贵州茅台,2024,6.35,0.5,1.57,0,6.84,合计偏差93.2%，大于5%
000858.SZ,五粮液,2015,8.96,1.81,0.75,0,10.78,合计偏差89.2%，大于5%
000858.SZ,五粮液,2016,7.87,1.53,0.49,0,9.4,合计偏差90.6%，大于5%
000858.SZ,五粮液,2017,10.65,1.34,0.3,0,12,合计偏差88.0%，大于5%
000858.SZ,五粮液,2018,12.12,3.12,0.44,0,15.24,合计偏差84.8%，大于5%
000858.SZ,五粮液,2019,13,2.52,1.6,0,15.52,合计偏差84.5%，大于5%
000858.SZ,五粮液,2020,10.48,2.36,0.87,0,12.83,合计偏差87.2%，大于5%
000858.SZ,五粮液,2021,8.98,2.24,1.13,0,11.23,合计偏差88.8%，大于5%
000858.SZ,五粮液,2022,8.71,2,1.17,0,10.71,合计偏差89.3%，大于5%
000858.SZ,五粮液,2023,9.39,1.63,1.79,0,11.02,合计偏差89.0%，大于5%
000858.SZ,五粮液,2024,9.76,1.64,1.42,0,11.4,合计偏差88.6%，大于5%
000568.SZ,泸州老窖,2015,5.75,4.95,0.6,0,10.69,合计偏差89.3%，大于5%
000568.SZ,泸州老窖,2016,6.47,4.76,1.73,0,11.23,合计偏差88.8%，大于5%
000568.SZ,泸州老窖,2017,8.43,17.94,7.17,0,26.36,合计偏差73.6%，大于5%
000568.SZ,泸州老窖,2018,11.14,16.44,6.5,0,27.59,合计偏差72.4%，大于5%
000568.SZ,泸州老窖,2019,9.14,21.49,15.92,0,30.63,合计偏差69.4%，大于5%
000568.SZ,泸州老窖,2020,8.72,22.23,6.12,0,30.95,合计偏差69.0%，大于5%
000568.SZ,泸州老窖,2021,10.35,18.13,4.58,0,28.48,合计偏差71.5%，大于5%
000568.SZ,泸州老窖,2022,10.4,21.52,2.01,0,31.92,合计偏差68.1%，大于5%
000568.SZ,泸州老窖,2023,7.24,26.48,2.37,0,33.73,合计偏差66.3%，大于5%
000568.SZ,泸州老窖,2024,6.78,21.84,1.74,0,28.61,合计偏差71.4%，大于5%
600809.SH,山西汾酒,2015,15.02,3.59,2.64,0,18.61,合计偏差81.4%，大于5%
600809.SH,山西汾酒,2016,15.03,3.25,1.44,0,18.28,合计偏差81.7%，大于5%
600809.SH,山西汾酒,2017,14.78,2.71,0.75,0,17.49,合计偏差82.5%，大于5%
600809.SH,山西汾酒,2018,19.5,2.39,0.63,0,21.89,合计偏差78.1%，大于5%
600809.SH,山西汾酒,2019,17.52,0.82,1,0,18.34,合计偏差81.7%，大于5%
